operation_date,y,x,group
2023-08-01,19.89188576,33.74154091,Linea 1
2023-08-02,20.30614204,33.75020828,Linea 1
2023-08-03,19.27416403,33.21332515,Linea 1
2023-08-04,19.44525928,32.72364445,Linea 1
2023-08-05,19.70421833,33.01449119,Linea 1
2023-08-06,19.45937347,33.22973442,Linea 1
2023-08-07,19.70250869,33.01980782,Linea 1
2023-08-08,19.84512949,32.90591908,Linea 1
2023-08-09,19.69661236,32.84798786,Linea 1
2023-08-10,19.53385904,33.28408602,Linea 1
2023-08-11,19.55348063,33.81855583,Linea 1
2023-08-12,19.33625627,33.52054358,Linea 1
2023-08-13,19.29555154,33.31146145,Linea 1
2023-08-14,19.76588869,34.51439428,Linea 1
2023-08-15,20.2244411,34.3276329,Linea 1
2023-08-16,19.8971475,34.13314915,Linea 1
2023-08-17,19.36811002,34.07284037,Linea 1
2023-08-18,19.42101833,33.26645933,Linea 1
2023-08-19,19.31714249,33.43531418,Linea 1
2023-08-20,19.49584707,33.32691701,Linea 1
2023-08-22,19.5016772,33.06209437,Linea 1
2023-08-23,19.40998173,32.96041489,Linea 1
2023-09-02,18.61395264,33.93905258,Linea 1
2023-09-04,19.52853966,33.87573624,Linea 1
2023-09-09,19.32604408,33.2903862,Linea 1
2023-09-11,19.20721245,33.36761093,Linea 1
2023-10-12,19.73787308,33.51416016,Linea 1
2023-10-14,19.66716194,33.37766647,Linea 1
2023-10-27,20.34084129,33.94012642,Linea 1
2023-11-04,19.95009041,34.49812317,Linea 1
2023-11-30,19.61699886,33.38124313,Linea 1
2023-12-01,19.5437818,33.47062683,Linea 1
2023-12-02,20.10331154,33.05052312,Linea 1
2023-12-03,19.86858582,33.38782024,Linea 1
2023-12-04,19.63473082,33.57376385,Linea 1
2023-12-05,20.20038552,33.65772523,Linea 1
2023-12-06,20.20094532,34.33889092,Linea 1
2023-12-07,20.28187544,34.25936231,Linea 1
2023-12-08,20.46499284,34.18511772,Linea 1
2023-12-09,20.47177029,34.15562026,Linea 1
2023-12-10,20.75903979,34.2939904,Linea 1
2023-12-11,20.52460913,34.30893881,Linea 1
2023-12-12,20.72325516,34.36158228,Linea 1
2023-12-13,20.33192934,34.13933563,Linea 1
2023-12-14,20.45832539,34.25942802,Linea 1
2023-12-15,19.84802723,33.41426945,Linea 1
2023-12-16,19.63552007,33.37832399,Linea 1
2023-12-17,19.49745305,33.7040952,Linea 1
2023-12-18,19.46929847,33.48012076,Linea 1
2023-12-19,19.51013374,33.63550911,Linea 1
2023-12-20,20.18703334,33.70328183,Linea 1
2023-12-21,20.58037329,34.38017225,Linea 1
2023-12-22,20.04193265,33.90481077,Linea 1
2023-12-23,20.15071021,34.57709461,Linea 1
2023-12-24,20.2355938,34.94716835,Linea 1
2024-01-26,20.83508523,33.11855189,Linea 1
2024-01-27,20.98573208,33.69442749,Linea 1
2024-01-28,20.80540412,33.7299614,Linea 1
2024-01-29,21.50529925,34.54942279,Linea 1
2024-01-30,21.24428964,34.16713095,Linea 1
2024-01-31,21.45026588,33.81846619,Linea 1
2024-02-01,21.52245483,33.77962265,Linea 1
2024-02-02,21.84500122,33.96275711,Linea 1
2024-02-03,21.68155599,33.90736651,Linea 1
2024-02-04,21.15426426,33.38379822,Linea 1
2024-02-05,21.03385377,33.50273466,Linea 1
2024-02-06,21.29275619,33.61108314,Linea 1
2024-02-07,21.11680927,33.69893398,Linea 1
2024-02-08,20.8359588,33.69447221,Linea 1
2024-02-09,21.79175568,34.31912122,Linea 1
2024-02-10,21.87248911,34.43015071,Linea 1
2024-02-11,21.99551855,34.06269019,Linea 1
2024-02-12,21.92449493,34.50408936,Linea 1
2024-02-13,21.53654993,34.26316929,Linea 1
2024-02-14,21.00466805,34.46149063,Linea 1
2024-02-15,21.86399814,34.04945918,Linea 1
2024-02-16,21.81378222,34.12896204,Linea 1
2024-02-17,21.59100321,34.38090642,Linea 1
2024-02-18,21.80939157,34.29883684,Linea 1
2024-02-19,21.79742241,34.6833786,Linea 1
2024-02-20,21.68898233,34.2289257,Linea 1
2024-02-21,21.84008058,34.31197039,Linea 1
2024-02-22,21.94968987,34.51245728,Linea 1
2024-02-23,21.70963309,34.60069953,Linea 1
2024-02-24,21.75682354,34.65370321,Linea 1
2024-02-25,21.64838328,34.53134155,Linea 1
2024-02-26,21.1760131,33.84942966,Linea 1
2024-02-27,20.74855099,33.6853756,Linea 1
2024-02-28,20.76473872,33.47254785,Linea 1
2024-02-29,20.80743514,32.97342597,Linea 1
2024-03-01,21.46485492,34.27296066,Linea 1
2024-03-02,21.47513556,34.17460442,Linea 1
2024-03-03,20.97625237,33.76179962,Linea 1
2024-03-04,20.78439204,33.25573858,Linea 1
2024-03-05,21.58884133,34.1692916,Linea 1
2024-03-06,21.65867615,34.37368698,Linea 1
2024-03-07,21.11245155,33.30199814,Linea 1
2024-03-08,22.2758625,34.57307053,Linea 1
2024-03-09,21.96490717,34.38900089,Linea 1
2024-03-10,21.88617597,34.52602877,Linea 1
2024-03-11,21.85739093,34.4327134,Linea 1
2024-03-12,21.12500468,33.53975816,Linea 1
2024-03-13,21.03192997,33.29972394,Linea 1
2024-03-14,21.72794406,34.29595523,Linea 1
2024-03-15,21.54424667,34.1765871,Linea 1
2024-03-16,21.40919654,34.4986515,Linea 1
2024-03-17,21.15547466,34.42203808,Linea 1
2024-03-18,21.15658787,34.22159631,Linea 1
2024-03-19,21.12921206,34.15745629,Linea 1
2024-03-20,21.00198703,34.15461858,Linea 1
2024-03-21,21.02451748,34.21710502,Linea 1
2024-03-22,20.57903214,33.42954636,Linea 1
2024-03-23,20.46057848,33.36644099,Linea 1
2024-03-24,20.45014429,33.5018394,Linea 1
2024-03-25,20.96974026,34.221052,Linea 1
2024-03-26,21.04948044,34.26076365,Linea 1
2024-03-27,21.07683802,34.42721415,Linea 1
2024-03-28,21.10533418,34.21578047,Linea 1
2024-03-29,21.14723723,34.13073839,Linea 1
2024-03-30,21.24956274,34.31879807,Linea 1
2024-03-31,20.60117277,32.61358134,Linea 1
